Competitor,,Fran Times,Fran Times (Decimal),,,,,,,,,,,,,,,Clean & Jerk,,Snatch,,Deadlift,,Back Squat,,,,,,Age,Height,Weight
Ben Smith, Fran,0:02:25,0.001678241, Helen, 7:19, Grace, 1:51, Filthy 50, 16:17, Fight Gone Bad,520, Sprint 400m, 0:58, Run 5k, 20:20, , Clean & Jerk,335, Snatch,300, Deadlift,540, Back Squat,480, Max Pull-ups,76, Mid Atlantic, CrossFit Krypton, Male,25,180,195
Mathew Fraser, Fran,0:02:07,0.001469907, Helen, --, Grace, 1:18, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,375, Snatch,315, Deadlift,500, Back Squat,485, Max Pull-ups,50, North East, Champlain Valley CrossFit, Champlain Valley CrossFit,25,168,185
Bj\xc3\xb6rgvin Karl Gu\xc3\xb0mundsson, Fran,0:02:23,0.001655093, Helen, 0:00, Grace, 2:00, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 0:00, Run 5k, 19:20, , Clean & Jerk,335, Snatch,286, Deadlift,507, Back Squat,440, Max Pull-ups,65, Europe, Crossfit Hengill, CrossFit Hengill,23,178,185
Dan Bailey, Fran,0:02:17,0.001585648, Helen, 0:00, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad,457, Sprint 400m, 0:47, Run 5k, 19:00, , Clean & Jerk,305, Snatch,265, Deadlift,540, Back Squat,405, Max Pull-ups,0, Southern California, Male,,31,170,179
Spencer Hendel, Fran,0:02:25,0.001678241, Helen, 7:30, Grace, 1:30, Filthy 50, 17:40, Fight Gone Bad,447, Sprint 400m, 1:01, Run 5k, 20:32, , Clean & Jerk,365, Snatch,305, Deadlift,565, Back Squat,550, Max Pull-ups,62, North East, Reebok CrossFit Medfield, Male,27,188,215
Cole Sager, Fran,0:02:05,0.001446759, Helen, --, Grace, 1:10, Filthy 50, 14:14, Fight Gone Bad,476, Sprint 400m, 0:56, Run 5k, --, , Clean & Jerk,340, Snatch,275, Deadlift,455, Back Squat,475, Max Pull-ups,68, North West, CrossFit Deliverance, CrossFit Deliverance,25,178,207
Noah Ohlsen, Fran,0:02:12,0.001527778, Helen, 0:00, Grace, 1:46, Filthy 50, 19:05, Fight Gone Bad,421, Sprint 400m, 0:59, Run 5k, 0:00, , Clean & Jerk,345, Snatch,280, Deadlift,490, Back Squat,425, Max Pull-ups,72, South East, Peak 360 CrossFit, Male,24,170,188
Alex Vigneault, Fran,0:02:17,0.001585648, Helen, 7:12, Grace, --, Filthy 50, 14:54, Fight Gone Bad,457, Sprint 400m, --, Run 5k, 20:00, , Clean & Jerk,360, Snatch,290, Deadlift,600, Back Squat,455, Max Pull-ups,70, Canada East, CrossFit Quebec City, CrossFit Quebec City,23,180,205
Aaron Hanna, Fran,0:02:20,0.00162037, Helen, 7:46, Grace, 1:30, Filthy 50, --, Fight Gone Bad,433, Sprint 400m, 0:55, Run 5k, --, , Clean & Jerk,365, Snatch,275, Deadlift,500, Back Squat,450, Max Pull-ups, --, South East, CrossFit Clearwater, CrossFit Clearwater,27,185,205
Ben Garard, Fran,0:02:05,0.001446759, Helen, 7:06, Grace, 1:30, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:58, Run 5k, 19:15, , Clean & Jerk,331, Snatch,277, Deadlift,540, Back Squat,481, Max Pull-ups,55, Australia, BENtonCrossFit, Bent On CrossFit,27,165,183
Elijah Muhammad, Fran,0:02:26,0.001689815, Helen, --, Grace, 1:32, Filthy 50, --, Fight Gone Bad,425, Sprint 400m, --, Run 5k, --, , Clean & Jerk,350, Snatch,295, Deadlift,565, Back Squat,475, Max Pull-ups, --, South East, CrossFit Calidus, Male,27,183,200
