Competitor,,Fran Times,Fran Times (Decimal),,,,,,,,,,,,,,,Clean & Jerk,,Snatch,,Deadlift,,Back Squat,,,,,,Age,Height,Weight
Noah Ohlsen, Fran,0:02:12,0.001527778, Helen, 0:00, Grace, 1:46, Filthy 50, 19:05, Fight Gone Bad,421, Sprint 400m, 0:59, Run 5k, 0:00, , Clean & Jerk,345, Snatch,280, Deadlift,490, Back Squat,425, Max Pull-ups,72, South East, Peak 360 CrossFit, Male,24,160,188
Aaron Hanna, Fran,0:02:20,0.00162037, Helen, 7:46, Grace, 1:30, Filthy 50, --, Fight Gone Bad,433, Sprint 400m, 0:55, Run 5k, --, , Clean & Jerk,365, Snatch,275, Deadlift,500, Back Squat,450, Max Pull-ups, --, South East, CrossFit Clearwater, CrossFit Clearwater,27,185,205
Elijah Muhammad, Fran,0:02:26,0.001689815, Helen, --, Grace, 1:32, Filthy 50, --, Fight Gone Bad,425, Sprint 400m, --, Run 5k, --, , Clean & Jerk,350, Snatch,295, Deadlift,565, Back Squat,475, Max Pull-ups, --, South East, CrossFit Calidus, Male,27,183,200
Ben Smith, Fran,0:02:25,0.001678241, Helen, 7:19, Grace, 1:51, Filthy 50, 16:17, Fight Gone Bad,520, Sprint 400m, 0:58, Run 5k, 20:20, , Clean & Jerk,335, Snatch,300, Deadlift,540, Back Squat,480, Max Pull-ups,76, Mid Atlantic, CrossFit Krypton, Male,25,180,195
Nathan Bramblett, Fran,0:02:06,0.001458333, Helen, --, Grace, 1:20, Filthy 50, --, Fight Gone Bad,472, Sprint 400m, --, Run 5k, 18:37, , Clean & Jerk,350, Snatch,280, Deadlift,525, Back Squat,445, Max Pull-ups,63, Mid Atlantic, CrossFit Oyster Point, Male,24,178,184
Gerald Sasser, Fran,0:02:13,0.001539352, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,345, Snatch,290, Deadlift,485, Back Squat,410, Max Pull-ups, --, Mid Atlantic, Unaffiliated, Male,26,178,198
Joe Kearney, Fran,0:02:30,0.001736111, Helen, 6:44, Grace, 1:43, Filthy 50, 17:50, Fight Gone Bad,391, Sprint 400m, --, Run 5k, --, , Clean & Jerk,335, Snatch,285, Deadlift,500, Back Squat,380, Max Pull-ups, --, Mid Atlantic, CrossFit Lewisburg, Male,23,180,180
Travis Mayer, Fran,0:02:15,0.0015625, Helen, 6:34, Grace, 1:18, Filthy 50, 13:39, Fight Gone Bad,447, Sprint 400m, 0:54, Run 5k, 18:03, , Clean & Jerk,345, Snatch,280, Deadlift,550, Back Squat,455, Max Pull-ups,75, South East, CrossFit Passion, Male,25,180,198
Garret Fisher, Fran,0:02:09,0.001493056, Helen, 0:00, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:55, Run 5k, 0:00, , Clean & Jerk,355, Snatch,285, Deadlift,525, Back Squat,475, Max Pull-ups,0, South East, Unaffiliated, Male,24,185,205
Jordan Troyan, Fran,0:02:52,0.001990741, Helen, 6:50, Grace, 1:49, Filthy 50, 17:30, Fight Gone Bad,434, Sprint 400m, 0:55, Run 5k, 18:35, , Clean & Jerk,305, Snatch,255, Deadlift,485, Back Squat,410, Max Pull-ups,50, Mid Atlantic, CrossFit Rage, CrossFit Rage,31,178,180
Daniel Petro, Fran,0:02:01,0.001400463, Helen, 7:15, Grace, 1:21, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,320, Snatch,285, Deadlift,515, Back Squat,480, Max Pull-ups,65, South East, Crossfit West Cobb, CrossFit West Cobb,27,180,205
Stephen Pinkerton, Fran,0:02:31,0.001747685, Helen, 7:31, Grace, 1:07, Filthy 50, 15:48, Fight Gone Bad,471, Sprint 400m, 1:00, Run 5k, 21:05, , Clean & Jerk,335, Snatch,275, Deadlift,510, Back Squat,410, Max Pull-ups,62, Mid Atlantic, CrossFit Vitality, Male,34,196,242
Benjamin Williams, Fran,0:02:28,0.001712963, Helen, 7:44, Grace, 2:18, Filthy 50, 18:50, Fight Gone Bad,0, Sprint 400m, --, Run 5k, 20:54, , Clean & Jerk,330, Snatch,255, Deadlift,510, Back Squat,455, Max Pull-ups,0, South East, CrossFit Bound, CrossFit Bound,28,183,196
Hudson Fricke, Fran,0:02:16,0.001574074, Helen, --, Grace, 1:28, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,295, Snatch,275, Deadlift,500, Back Squat,390, Max Pull-ups, --, South East, Southern Moon CrossFit, Male,27,185,200
Nathan Keil, Fran,0:02:25,0.001678241, Helen, 7:56, Grace, 1:54, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, 21:32, , Clean & Jerk,305, Snatch,260, Deadlift,500, Back Squat,435, Max Pull-ups,65, Mid Atlantic, CrossFit Altius, Male,27,183,195
Julian Serna, Fran,0:02:12,0.001527778, Helen, 0:00, Grace, 1:35, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,265, Snatch,195, Deadlift,500, Back Squat,450, Max Pull-ups,55, South East, Hallandale Beach CrossFit, Male,32,180,195
Dominick Maurici, Fran,0:02:04,0.001435185, Helen, 7:38, Grace, 1:17, Filthy 50, 17:19, Fight Gone Bad,483, Sprint 400m, 1:02, Run 5k, 19:47, , Clean & Jerk,335, Snatch,260, Deadlift,545, Back Squat,475, Max Pull-ups,76, South East, Caution CrossFit, Caution CrossFit,26,160,180
Lex Ozias, Fran,0:02:06,0.001458333, Helen, --, Grace, 1:38, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,325, Snatch,250, Deadlift,450, Back Squat,455, Max Pull-ups,55, Mid Atlantic, Mountaineer CrossFit, Male,23,160,175
Brian Rottman, Fran,0:02:17,0.001585648, Helen, 7:56, Grace, 1:46, Filthy 50, --, Fight Gone Bad,413, Sprint 400m, --, Run 5k, --, , Clean & Jerk,325, Snatch,260, Deadlift,500, Back Squat,410, Max Pull-ups, --, South East, Be Crossfit, Be CrossFit,27,173,175
Adam Vinson, Fran,0:02:25,0.001678241, Helen, 8:28, Grace, 1:36, Filthy 50, 17:24, Fight Gone Bad,406, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,355, Snatch,285, Deadlift,550, Back Squat,525, Max Pull-ups,40, South East, CrossFit Oneonta, CrossFit Oneonta,28,180,215
Craig Williams, Fran,0:02:09,0.001493056, Helen, 7:04, Grace, 1:50, Filthy 50, 0:00, Fight Gone Bad,388, Sprint 400m, 1:04, Run 5k, 19:37, , Clean & Jerk,315, Snatch,255, Deadlift,535, Back Squat,425, Max Pull-ups, --, Mid Atlantic, CrossFit Salisbury, CrossFit Salisbury,21,175,179
Vinny Casey, Fran,0:02:15,0.0015625, Helen, --, Grace, 1:40, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 0:58, Run 5k, 19:00, , Clean & Jerk,315, Snatch,265, Deadlift,505, Back Squat,445, Max Pull-ups,77, Mid Atlantic, Diamond State, CrossFit Diamond State,20,175,185
Guido Trinidad, Fran,0:02:12,0.001527778, Helen, 7:40, Grace, 1:23, Filthy 50, 17:33, Fight Gone Bad,438, Sprint 400m, 1:02, Run 5k, 21:13, , Clean & Jerk,335, Snatch,260, Deadlift,475, Back Squat,450, Max Pull-ups,63, South East, Peak 360 CrossFit, Peak 360 CrossFit,35,160,191
Kyle Ruth, Fran,0:02:21,0.001631944, Helen, 0:00, Grace, 1:32, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:54, Run 5k, 20:47, , Clean & Jerk,345, Snatch,255, Deadlift,555, Back Squat,450, Max Pull-ups,66, Mid Atlantic, CrossFit LKN, Male,30,180,199
Brandon Massie, Fran,0:02:16,0.001574074, Helen, 7:16, Grace, 1:39, Filthy 50, --, Fight Gone Bad,430, Sprint 400m, 1:05, Run 5k, 23:48, , Clean & Jerk,317, Snatch,265, Deadlift,495, Back Squat,405, Max Pull-ups,50, South East, Mako CrossFit, Male,27,183,208
Thomas Nay, Fran,0:02:04,0.001435185, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 0:00, Run 5k, 21:00, , Clean & Jerk,325, Snatch,260, Deadlift,545, Back Squat,455, Max Pull-ups,0, Mid Atlantic, CrossFit Huntington, Male,26,160,180
Carlos Albaladejo, Fran,0:02:30,0.001736111, Helen, 8:30, Grace, 1:58, Filthy 50, 0:00, Fight Gone Bad,397, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,350, Snatch,275, Deadlift,530, Back Squat,450, Max Pull-ups,54, Mid Atlantic, CrossFit Midlo, Male,27,160,175
Uriah Aviles, Fran,0:02:17,0.001585648, Helen, --, Grace, 0:00, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,317, Snatch,255, Deadlift,600, Back Squat,515, Max Pull-ups,55, Mid Atlantic, Signal 5 CrossFit, Signal 5 CrossFit,30,173,205
Sean Thomson, Fran,0:01:58,0.001365741, Helen, 7:10, Grace, 1:27, Filthy 50, 17:33, Fight Gone Bad,415, Sprint 400m, 0:52, Run 5k, 17:49, , Clean & Jerk,330, Snatch,250, Deadlift,520, Back Squat,465, Max Pull-ups,75, Mid Atlantic, CrossFit Go Hard, CrossFit Go Hard,29,160,159
Adam Klink, Fran,0:02:27,0.001701389, Helen, 8:27, Grace, 1:50, Filthy 50, 17:48, Fight Gone Bad, --, Sprint 400m, 0:58, Run 5k, 0:00, , Clean & Jerk,300, Snatch,230, Deadlift,575, Back Squat,520, Max Pull-ups,50, Mid Atlantic, CrossFit Krypton, Male,26,183,218
Mark Hutchinson, Fran,0:02:21,0.001631944, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad,429, Sprint 400m, 0:49, Run 5k, --, , Clean & Jerk,340, Snatch,270, Deadlift,500, Back Squat,415, Max Pull-ups,83, South East, San Pablo CrossFit, Male,27,183,206
