Competitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Noah Ohlsen'"," [['Fran'"," '2:12']"," ['Helen'"," '0:00']"," ['Grace'"," '1:46']"," ['Filthy 50'"," '19:05']"," ['Fight Gone Bad'"," '421']"," ['Sprint 400m'"," '0:59']"," ['Run 5k'"," '0:00']"," []"," ['Clean & Jerk'"," '345 lb']"," ['Snatch'"," '280 lb']"," ['Deadlift'"," '490 lb']"," ['Back Squat'"," '425 lb']"," ['Max Pull-ups'"," '72']]"," ['South East'"," 'Peak 360 CrossFit'"," 'Male'"," '24'"," '5\'7""""""""'"," '188 lb'])"
"('Aaron Hanna'"," [['Fran'"," '2:20']"," ['Helen'"," '7:46']"," ['Grace'"," '1:30']"," ['Filthy 50'"," '--']"," ['Fight Gone Bad'"," '433']"," ['Sprint 400m'"," '0:55']"," ['Run 5k'"," '--']"," []"," ['Clean & Jerk'"," '365 lb']"," ['Snatch'"," '275 lb']"," ['Deadlift'"," '500 lb']"," ['Back Squat'"," '450 lb']"," ['Max Pull-ups'"," '--']]"," ['South East'"," 'CrossFit Clearwater'"," 'CrossFit Clearwater'"," '27'"," '6\'1""""""""'"," '205 lb'])"
"('Elijah Muhammad'"," [['Fran'"," '2:26']"," ['Helen'"," '--']"," ['Grace'"," '1:32']"," ['Filthy 50'"," '--']"," ['Fight Gone Bad'"," '425']"," ['Sprint 400m'"," '--']"," ['Run 5k'"," '--']"," []"," ['Clean & Jerk'"," '350 lb']"," ['Snatch'"," '295 lb']"," ['Deadlift'"," '565 lb']"," ['Back Squat'"," '475 lb']"," ['Max Pull-ups'"," '--']]"," ['South East'"," 'CrossFit Calidus'"," 'Male'"," '27'"," '6\'0""""""""'"," '200 lb'])"
"('Ben Smith'"," [['Fran'"," '2:25']"," ['Helen'"," '7:19']"," ['Grace'"," '1:51']"," ['Filthy 50'"," '16:17']"," ['Fight Gone Bad'"," '520']"," ['Sprint 400m'"," '0:58']"," ['Run 5k'"," '20:20']"," []"," ['Clean & Jerk'"," '335 lb']"," ['Snatch'"," '300 lb']"," ['Deadlift'"," '540 lb']"," ['Back Squat'"," '480 lb']"," ['Max Pull-ups'"," '76']]"," ['Mid Atlantic'"," 'CrossFit Krypton'"," 'Male'"," '25'"," '5\'11""""""""'"," '195 lb'])"
"('Nathan Bramblett'"," [['Fran'"," '2:06']"," ['Helen'"," '--']"," ['Grace'"," '1:20']"," ['Filthy 50'"," '--']"," ['Fight Gone Bad'"," '472']"," ['Sprint 400m'"," '--']"," ['Run 5k'"," '18:37']"," []"," ['Clean & Jerk'"," '350 lb']"," ['Snatch'"," '280 lb']"," ['Deadlift'"," '525 lb']"," ['Back Squat'"," '445 lb']"," ['Max Pull-ups'"," '63']]"," ['Mid Atlantic'"," 'CrossFit Oyster Point'"," 'Male'"," '24'"," '5\'10""""""""'"," '184 lb'])"
"('Gerald Sasser'"," [['Fran'"," '2:13']"," ['Helen'"," '--']"," ['Grace'"," '--']"," ['Filthy 50'"," '--']"," ['Fight Gone Bad'"," '--']"," ['Sprint 400m'"," '--']"," ['Run 5k'"," '--']"," []"," ['Clean & Jerk'"," '345 lb']"," ['Snatch'"," '290 lb']"," ['Deadlift'"," '485 lb']"," ['Back Squat'"," '410 lb']"," ['Max Pull-ups'"," '--']]"," ['Mid Atlantic'"," 'Unaffiliated'"," 'Male'"," '26'"," '5\'10""""""""'"," '198 lb'])"
"('Joe Kearney'"," [['Fran'"," '2:30']"," ['Helen'"," '6:44']"," ['Grace'"," '1:43']"," ['Filthy 50'"," '17:50']"," ['Fight Gone Bad'"," '391']"," ['Sprint 400m'"," '--']"," ['Run 5k'"," '--']"," []"," ['Clean & Jerk'"," '335 lb']"," ['Snatch'"," '285 lb']"," ['Deadlift'"," '500 lb']"," ['Back Squat'"," '380 lb']"," ['Max Pull-ups'"," '--']]"," ['Mid Atlantic'"," 'CrossFit Lewisburg'"," 'Male'"," '23'"," '5\'11""""""""'"," '180 lb'])"
"('Travis Mayer'"," [['Fran'"," '2:15']"," ['Helen'"," '6:34']"," ['Grace'"," '1:18']"," ['Filthy 50'"," '13:39']"," ['Fight Gone Bad'"," '447']"," ['Sprint 400m'"," '0:54']"," ['Run 5k'"," '18:03']"," []"," ['Clean & Jerk'"," '345 lb']"," ['Snatch'"," '280 lb']"," ['Deadlift'"," '550 lb']"," ['Back Squat'"," '455 lb']"," ['Max Pull-ups'"," '75']]"," ['South East'"," 'CrossFit Passion'"," 'Male'"," '25'"," '5\'11""""""""'"," '198 lb'])"
"('Jacob Anderson'"," [['Fran'"," '--']"," ['Helen'"," '--']"," ['Grace'"," '--']"," ['Filthy 50'"," '--']"," ['Fight Gone Bad'"," '--']"," ['Sprint 400m'"," '--']"," ['Run 5k'"," '--']"," []"," ['Clean & Jerk'"," '385 lb']"," ['Snatch'"," '315 lb']"," ['Deadlift'"," '545 lb']"," ['Back Squat'"," '--']"," ['Max Pull-ups'"," '--']]"," ['South East'"," 'CrossFit Boro'"," 'CrossFit Boro'"," '22'"," '5\'8""""""""'"," '190 lb'])"
"('Garret Fisher'"," [['Fran'"," '2:09']"," ['Helen'"," '0:00']"," ['Grace'"," '0:00']"," ['Filthy 50'"," '0:00']"," ['Fight Gone Bad'"," '0']"," ['Sprint 400m'"," '0:55']"," ['Run 5k'"," '0:00']"," []"," ['Clean & Jerk'"," '355 lb']"," ['Snatch'"," '285 lb']"," ['Deadlift'"," '525 lb']"," ['Back Squat'"," '475 lb']"," ['Max Pull-ups'"," '0']]"," ['South East'"," 'Unaffiliated'"," 'Male'"," '24'"," '6\'1""""""""'"," '205 lb'])"
"('Alec Smith'"," [['Fran'"," '0:00']"," ['Helen'"," '0:00']"," ['Grace'"," '0:00']"," ['Filthy 50'"," '0:00']"," ['Fight Gone Bad'"," '0']"," ['Sprint 400m'"," '0:00']"," ['Run 5k'"," '0:00']"," []"," ['Clean & Jerk'"," '340 lb']"," ['Snatch'"," '275 lb']"," ['Deadlift'"," '475 lb']"," ['Back Squat'"," '440 lb']"," ['Max Pull-ups'"," '0']]"," ['Mid Atlantic'"," 'CrossFit Krypton'"," 'Male'"," '23'"," '5\'10""""""""'"," '176 lb'])"
